Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 12:56:49,SRT Feed,srt://207.35.238,N/A,0,N/A,N/A,N/A,0.00,0,0,N/A,Checking...
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 12:56:50,SRT Feed,srt://207.35.238,Connecting,0,Connecting,N/A,Alert,0.00,0,0,N/A,NTP Good
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 12:56:51,SRT Feed,srt://207.35.238,Connecting,0,Connecting,N/A,Alert,0.00,0,0,N/A,NTP Good
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 12:56:52,SRT Feed,srt://207.35.238,Connecting,0,Connecting,N/A,Alert,0.00,0,0,N/A,NTP Good
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 12:56:53,SRT Feed,srt://207.35.238,Connecting,0,Connecting,N/A,Alert,0.00,0,0,PSI Error,NTP Good
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 12:56:54,SRT Feed,srt://207.35.238,Connecting,0,Connecting,N/A,Alert,0.00,0,0,PSI Error,NTP Good
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 12:56:55,SRT Feed,srt://207.35.238,Connecting,0,Connecting,N/A,Alert,0.00,0,0,PSI Error,NTP Good
